game_index,white_agent,black_agent,winner,white_won,black_won,draw,moves,termination_reason,white_avg_nodes,black_avg_nodes,white_avg_time,black_avg_time,total_avg_nodes,total_avg_time
0,Agent_bishop_pair,Agent_capture_threats,draw,0,0,1,60,move_cap,669.33,662.97,0.016964,0.057432,666.15,0.037198
1,Agent_bishop_pair,Agent_center_control,b,0,1,0,14,king_exploded,714.0,671.71,0.016565,0.030978,692.86,0.023772
2,Agent_bishop_pair,Agent_enemy_king_danger,b,0,1,0,26,king_exploded,691.92,672.46,0.018392,0.033414,682.19,0.025903
3,Agent_bishop_pair,Agent_king_safety,draw,0,0,1,60,move_cap,289.77,304.33,0.007265,0.006957,297.05,0.007111
4,Agent_bishop_pair,Agent_material,draw,0,0,1,60,move_cap,418.8,401.87,0.011213,0.008996,410.33,0.010105
5,Agent_bishop_pair,Agent_mobility,b,0,1,0,6,checkmate,684.67,763.67,0.054326,0.117837,724.17,0.086082
6,Agent_bishop_pair,Agent_pawn_structure,draw,0,0,1,60,move_cap,669.67,682.47,0.017648,0.028428,676.07,0.023038
7,Agent_bishop_pair,Agent_piece_position,b,0,1,0,12,king_exploded,552.33,621.83,0.013389,0.012878,587.08,0.013134
8,Agent_bishop_pair,Agent_rook_activity,b,0,1,0,56,king_exploded,414.25,431.11,0.010257,0.010557,422.68,0.010407
9,Agent_bishop_pair,Agent_bishop_pair__capture_threats,draw,0,0,1,60,move_cap,669.33,662.97,0.015951,0.068099,666.15,0.042025
10,Agent_bishop_pair,Agent_bishop_pair__center_control,b,0,1,0,14,king_exploded,714.0,671.71,0.02352,0.056939,692.86,0.04023
11,Agent_bishop_pair,Agent_bishop_pair__enemy_king_danger,draw,0,0,1,60,move_cap,316.5,596.67,0.007943,0.038503,456.58,0.023223
12,Agent_bishop_pair,Agent_bishop_pair__king_safety,draw,0,0,1,60,move_cap,289.77,304.33,0.006674,0.009523,297.05,0.008099
13,Agent_bishop_pair,Agent_bishop_pair__material,draw,0,0,1,60,move_cap,517.43,505.27,0.021847,0.026046,511.35,0.023947
14,Agent_bishop_pair,Agent_bishop_pair__mobility,b,0,1,0,6,checkmate,684.67,763.67,0.022777,0.12157,724.17,0.072173
15,Agent_bishop_pair,Agent_bishop_pair__pawn_structure,draw,0,0,1,60,move_cap,669.67,682.47,0.01724,0.039993,676.07,0.028616
16,Agent_bishop_pair,Agent_bishop_pair__piece_position,b,0,1,0,12,king_exploded,552.33,621.83,0.012884,0.019228,587.08,0.016056
17,Agent_bishop_pair,Agent_bishop_pair__rook_activity,b,0,1,0,36,king_exploded,417.83,414.0,0.009991,0.014723,415.92,0.012357
18,Agent_bishop_pair,Agent_capture_threats__center_control,draw,0,0,1,60,move_cap,797.6,821.23,0.019782,0.090471,809.42,0.055126
19,Agent_bishop_pair,Agent_capture_threats__enemy_king_danger,b,0,1,0,26,checkmate,593.92,612.69,0.013769,0.073219,603.31,0.043494
20,Agent_bishop_pair,Agent_capture_threats__king_safety,draw,0,0,1,60,move_cap,797.77,795.97,0.020217,0.081182,796.87,0.050699
21,Agent_bishop_pair,Agent_capture_threats__material,draw,0,0,1,60,move_cap,572.67,568.03,0.014424,0.052449,570.35,0.033437
22,Agent_bishop_pair,Agent_capture_threats__mobility,draw,0,0,1,60,move_cap,973.7,1008.7,0.024108,0.175875,991.2,0.099991
23,Agent_bishop_pair,Agent_capture_threats__pawn_structure,draw,0,0,1,60,move_cap,596.47,592.77,0.018804,0.096861,594.62,0.057832
24,Agent_bishop_pair,Agent_capture_threats__piece_position,draw,0,0,1,60,move_cap,477.47,455.7,0.01288,0.037539,466.58,0.02521
25,Agent_bishop_pair,Agent_capture_threats__rook_activity,draw,0,0,1,60,move_cap,669.33,662.97,0.018189,0.084884,666.15,0.051536
26,Agent_bishop_pair,Agent_center_control__enemy_king_danger,draw,0,0,1,60,move_cap,535.17,523.87,0.013886,0.045027,529.52,0.029456
27,Agent_bishop_pair,Agent_center_control__king_safety,b,0,1,0,14,king_exploded,651.14,596.29,0.017168,0.040812,623.71,0.02899
28,Agent_bishop_pair,Agent_center_control__material,b,0,1,0,18,checkmate,639.44,696.0,0.019491,0.040603,667.72,0.030047
29,Agent_capture_threats,Agent_bishop_pair,w,1,0,0,29,checkmate,548.2,551.43,0.05374,0.015423,549.81,0.034582
