rank,agent_name,features,feature_count,games_played,wins,losses,draws,score_rate,win_rate,draw_rate,loss_rate,avg_game_length
1,Agent_bishop_pair__mobility,bishop_pair|mobility,2,58,41,4,13,0.819,0.7069,0.2241,0.069,25.83
2,Agent_mobility,mobility,1,58,37,5,16,0.7759,0.6379,0.2759,0.0862,27.19
3,Agent_capture_threats__enemy_king_danger,capture_threats|enemy_king_danger,2,58,36,9,13,0.7328,0.6207,0.2241,0.1552,37.17
4,Agent_bishop_pair__enemy_king_danger,bishop_pair|enemy_king_danger,2,58,32,8,18,0.7069,0.5517,0.3103,0.1379,33.81
5,Agent_capture_threats__mobility,capture_threats|mobility,2,58,23,2,33,0.681,0.3966,0.569,0.0345,44.28
6,Agent_center_control__material,center_control|material,2,58,32,11,15,0.681,0.5517,0.2586,0.1897,38.48
7,Agent_center_control__enemy_king_danger,center_control|enemy_king_danger,2,58,28,9,21,0.6638,0.4828,0.3621,0.1552,38.22
8,Agent_enemy_king_danger,enemy_king_danger,1,58,28,15,15,0.6121,0.4828,0.2586,0.2586,36.64
9,Agent_center_control__king_safety,center_control|king_safety,2,58,23,14,21,0.5776,0.3966,0.3621,0.2414,40.17
10,Agent_capture_threats__material,capture_threats|material,2,58,13,6,39,0.5603,0.2241,0.6724,0.1034,50.86
11,Agent_capture_threats__center_control,capture_threats|center_control,2,58,16,12,30,0.5345,0.2759,0.5172,0.2069,46.88
12,Agent_bishop_pair__center_control,bishop_pair|center_control,2,58,22,19,17,0.5259,0.3793,0.2931,0.3276,33.52
13,Agent_capture_threats__piece_position,capture_threats|piece_position,2,58,10,12,36,0.4828,0.1724,0.6207,0.2069,46.74
14,Agent_bishop_pair__piece_position,bishop_pair|piece_position,2,58,14,21,23,0.4397,0.2414,0.3966,0.3621,38.14
15,Agent_bishop_pair__rook_activity,bishop_pair|rook_activity,2,58,13,20,25,0.4397,0.2241,0.431,0.3448,39.5
16,Agent_capture_threats__rook_activity,capture_threats|rook_activity,2,58,8,15,35,0.4397,0.1379,0.6034,0.2586,51.0
17,Agent_piece_position,piece_position,1,58,13,20,25,0.4397,0.2241,0.431,0.3448,38.71
18,Agent_bishop_pair__capture_threats,bishop_pair|capture_threats,2,58,10,18,30,0.431,0.1724,0.5172,0.3103,48.43
19,Agent_capture_threats__pawn_structure,capture_threats|pawn_structure,2,58,8,16,34,0.431,0.1379,0.5862,0.2759,50.22
20,Agent_center_control,center_control,1,58,16,25,17,0.4224,0.2759,0.2931,0.431,36.52
21,Agent_rook_activity,rook_activity,1,58,14,24,20,0.4138,0.2414,0.3448,0.4138,36.98
22,Agent_bishop_pair__material,bishop_pair|material,2,58,11,23,24,0.3966,0.1897,0.4138,0.3966,44.52
23,Agent_capture_threats,capture_threats,1,58,6,18,34,0.3966,0.1034,0.5862,0.3103,49.9
24,Agent_bishop_pair__pawn_structure,bishop_pair|pawn_structure,2,58,7,21,30,0.3793,0.1207,0.5172,0.3621,43.14
25,Agent_king_safety,king_safety,1,58,8,24,26,0.3621,0.1379,0.4483,0.4138,41.28
26,Agent_material,material,1,58,7,23,28,0.3621,0.1207,0.4828,0.3966,45.71
27,Agent_capture_threats__king_safety,capture_threats|king_safety,2,58,5,22,31,0.3534,0.0862,0.5345,0.3793,44.95
28,Agent_bishop_pair__king_safety,bishop_pair|king_safety,2,58,5,23,30,0.3448,0.0862,0.5172,0.3966,42.9
29,Agent_pawn_structure,pawn_structure,1,58,3,26,29,0.3017,0.0517,0.5,0.4483,40.66
30,Agent_bishop_pair,bishop_pair,1,58,3,27,28,0.2931,0.0517,0.4828,0.4655,42.05
