feature_a,feature_b,avg_score_with_both,synergy
center_control,material,0.681,0.1135
center_control,king_safety,0.5776,0.1006
bishop_pair,mobility,0.819,0.0828
capture_threats,pawn_structure,0.431,0.056
capture_threats,material,0.5603,0.056
bishop_pair,enemy_king_danger,0.7069,0.0504
capture_threats,enemy_king_danger,0.7328,0.0496
bishop_pair,pawn_structure,0.3793,0.031
bishop_pair,rook_activity,0.4397,0.031
capture_threats,piece_position,0.4828,0.0244
bishop_pair,piece_position,0.4397,0.008
capture_threats,rook_activity,0.4397,0.0043
bishop_pair,center_control,0.5259,-0.0193
capture_threats,center_control,0.5345,-0.0374
bishop_pair,king_safety,0.3448,-0.0422
bishop_pair,capture_threats,0.431,-0.0509
capture_threats,king_safety,0.3534,-0.0603
bishop_pair,material,0.3966,-0.081
capture_threats,mobility,0.681,-0.0819
center_control,enemy_king_danger,0.6638,-0.0826
king_safety,pawn_structure,0.0,-0.2802
pawn_structure,rook_activity,0.0,-0.3017
pawn_structure,piece_position,0.0,-0.3247
king_safety,rook_activity,0.0,-0.3405
king_safety,piece_position,0.0,-0.3635
material,pawn_structure,0.0,-0.3707
piece_position,rook_activity,0.0,-0.3851
king_safety,material,0.0,-0.4095
material,rook_activity,0.0,-0.431
center_control,pawn_structure,0.0,-0.4382
material,piece_position,0.0,-0.454
center_control,rook_activity,0.0,-0.4986
center_control,piece_position,0.0,-0.5216
enemy_king_danger,pawn_structure,0.0,-0.5496
enemy_king_danger,king_safety,0.0,-0.5884
enemy_king_danger,rook_activity,0.0,-0.6099
mobility,pawn_structure,0.0,-0.6293
enemy_king_danger,piece_position,0.0,-0.6329
king_safety,mobility,0.0,-0.6681
enemy_king_danger,material,0.0,-0.6789
mobility,rook_activity,0.0,-0.6897
mobility,piece_position,0.0,-0.7126
material,mobility,0.0,-0.7586
center_control,mobility,0.0,-0.8261
enemy_king_danger,mobility,0.0,-0.9375
