,bishop_pair,capture_threats,center_control,enemy_king_danger,king_safety,material,mobility,pawn_structure,piece_position,rook_activity
bishop_pair,0.0,-0.0509,-0.0193,0.0504,-0.0422,-0.081,0.0828,0.031,0.008,0.031
capture_threats,-0.0509,0.0,-0.0374,0.0496,-0.0603,0.056,-0.0819,0.056,0.0244,0.0043
center_control,-0.0193,-0.0374,0.0,-0.0826,0.1006,0.1135,-0.8261,-0.4382,-0.5216,-0.4986
enemy_king_danger,0.0504,0.0496,-0.0826,0.0,-0.5884,-0.6789,-0.9375,-0.5496,-0.6329,-0.6099
king_safety,-0.0422,-0.0603,0.1006,-0.5884,0.0,-0.4095,-0.6681,-0.2802,-0.3635,-0.3405
material,-0.081,0.056,0.1135,-0.6789,-0.4095,0.0,-0.7586,-0.3707,-0.454,-0.431
mobility,0.0828,-0.0819,-0.8261,-0.9375,-0.6681,-0.7586,0.0,-0.6293,-0.7126,-0.6897
pawn_structure,0.031,0.056,-0.4382,-0.5496,-0.2802,-0.3707,-0.6293,0.0,-0.3247,-0.3017
piece_position,0.008,0.0244,-0.5216,-0.6329,-0.3635,-0.454,-0.7126,-0.3247,0.0,-0.3851
rook_activity,0.031,0.0043,-0.4986,-0.6099,-0.3405,-0.431,-0.6897,-0.3017,-0.3851,0.0
