agent_name,features,feature_count,weights,score_rate
Agent_bishop_pair,bishop_pair,1,bishop_pair=1.0000,0.5
Agent_capture_threats,capture_threats,1,capture_threats=1.0000,0.5
Agent_center_control,center_control,1,center_control=1.0000,0.5
Agent_enemy_king_danger,enemy_king_danger,1,enemy_king_danger=1.0000,0.5
Agent_king_safety,king_safety,1,king_safety=1.0000,0.5
Agent_material,material,1,material=1.0000,0.5
Agent_mobility,mobility,1,mobility=1.0000,0.5
Agent_pawn_structure,pawn_structure,1,pawn_structure=1.0000,0.5
Agent_piece_position,piece_position,1,piece_position=1.0000,0.5
Agent_rook_activity,rook_activity,1,rook_activity=1.0000,0.5
