game_index,moves,termination_reason,winner
0,40,move_cap,draw
1,40,move_cap,draw
2,40,move_cap,draw
3,40,move_cap,draw
4,40,move_cap,draw
5,40,move_cap,draw
6,40,move_cap,draw
7,40,move_cap,draw
8,40,move_cap,draw
9,40,move_cap,draw
10,40,move_cap,draw
11,40,move_cap,draw
12,40,move_cap,draw
13,40,move_cap,draw
14,40,move_cap,draw
15,40,move_cap,draw
16,40,move_cap,draw
17,40,move_cap,draw
18,40,move_cap,draw
19,40,move_cap,draw
20,40,move_cap,draw
21,40,move_cap,draw
22,40,move_cap,draw
23,40,move_cap,draw
24,40,move_cap,draw
25,40,move_cap,draw
26,40,move_cap,draw
27,40,move_cap,draw
28,40,move_cap,draw
29,40,move_cap,draw
30,40,move_cap,draw
31,40,move_cap,draw
32,40,move_cap,draw
33,40,move_cap,draw
34,40,move_cap,draw
35,40,move_cap,draw
36,40,move_cap,draw
37,40,move_cap,draw
38,40,move_cap,draw
39,40,move_cap,draw
40,40,move_cap,draw
41,40,move_cap,draw
42,40,move_cap,draw
43,40,move_cap,draw
44,40,move_cap,draw
45,40,move_cap,draw
46,40,move_cap,draw
47,40,move_cap,draw
48,40,move_cap,draw
49,40,move_cap,draw
50,40,move_cap,draw
51,40,move_cap,draw
52,40,move_cap,draw
53,40,move_cap,draw
54,40,move_cap,draw
55,40,move_cap,draw
56,40,move_cap,draw
57,40,move_cap,draw
58,40,move_cap,draw
59,40,move_cap,draw
60,40,move_cap,draw
61,40,move_cap,draw
62,40,move_cap,draw
63,40,move_cap,draw
64,40,move_cap,draw
65,40,move_cap,draw
66,40,move_cap,draw
67,40,move_cap,draw
68,40,move_cap,draw
69,40,move_cap,draw
70,40,move_cap,draw
71,40,move_cap,draw
72,40,move_cap,draw
73,40,move_cap,draw
74,40,move_cap,draw
75,40,move_cap,draw
76,40,move_cap,draw
77,40,move_cap,draw
78,40,move_cap,draw
79,40,move_cap,draw
80,40,move_cap,draw
81,40,move_cap,draw
82,40,move_cap,draw
83,40,move_cap,draw
84,40,move_cap,draw
85,40,move_cap,draw
86,40,move_cap,draw
87,40,move_cap,draw
88,40,move_cap,draw
89,40,move_cap,draw
