game_index,white_agent,black_agent,winner,white_won,black_won,draw,moves,termination_reason,white_avg_nodes,black_avg_nodes,white_avg_time,black_avg_time,total_avg_nodes,total_avg_time
0,Agent_bishop_pair,Agent_capture_threats,draw,0,0,1,40,move_cap,26.3,21.25,0.000658,0.002257,23.77,0.001457
1,Agent_bishop_pair,Agent_center_control,draw,0,0,1,40,move_cap,18.9,40.35,0.000613,0.00358,29.62,0.002096
2,Agent_bishop_pair,Agent_enemy_king_danger,draw,0,0,1,40,move_cap,19.7,22.7,0.0005,0.001805,21.2,0.001152
3,Agent_bishop_pair,Agent_king_safety,draw,0,0,1,40,move_cap,21.6,18.0,0.000588,0.000415,19.8,0.000502
4,Agent_bishop_pair,Agent_material,draw,0,0,1,40,move_cap,18.75,20.7,0.000434,0.000462,19.73,0.000448
5,Agent_bishop_pair,Agent_mobility,draw,0,0,1,40,move_cap,18.85,28.4,0.000537,0.00263,23.62,0.001584
6,Agent_bishop_pair,Agent_pawn_structure,draw,0,0,1,40,move_cap,23.5,18.45,0.000554,0.000955,20.98,0.000754
7,Agent_bishop_pair,Agent_piece_position,draw,0,0,1,40,move_cap,21.25,23.1,0.000493,0.000589,22.18,0.000541
8,Agent_bishop_pair,Agent_rook_activity,draw,0,0,1,40,move_cap,16.75,25.35,0.000456,0.000791,21.05,0.000624
9,Agent_capture_threats,Agent_bishop_pair,draw,0,0,1,40,move_cap,22.15,22.85,0.002328,0.00072,22.5,0.001524
10,Agent_capture_threats,Agent_center_control,draw,0,0,1,40,move_cap,19.45,36.5,0.002143,0.002233,27.98,0.002188
11,Agent_capture_threats,Agent_enemy_king_danger,draw,0,0,1,40,move_cap,19.65,30.65,0.002509,0.003167,25.15,0.002838
12,Agent_capture_threats,Agent_king_safety,draw,0,0,1,40,move_cap,27.8,23.8,0.003049,0.000623,25.8,0.001836
13,Agent_capture_threats,Agent_material,draw,0,0,1,40,move_cap,22.15,22.85,0.002621,0.000785,22.5,0.001703
14,Agent_capture_threats,Agent_mobility,draw,0,0,1,40,move_cap,33.05,33.15,0.005659,0.005581,33.1,0.00562
15,Agent_capture_threats,Agent_pawn_structure,draw,0,0,1,40,move_cap,37.25,23.1,0.00604,0.002322,30.18,0.004181
16,Agent_capture_threats,Agent_piece_position,draw,0,0,1,40,move_cap,28.6,36.25,0.003139,0.001069,32.42,0.002104
17,Agent_capture_threats,Agent_rook_activity,draw,0,0,1,40,move_cap,19.0,26.1,0.002789,0.001047,22.55,0.001918
18,Agent_center_control,Agent_bishop_pair,draw,0,0,1,40,move_cap,43.4,21.35,0.002796,0.000816,32.38,0.001806
19,Agent_center_control,Agent_capture_threats,draw,0,0,1,40,move_cap,36.35,19.4,0.00186,0.002194,27.88,0.002027
20,Agent_center_control,Agent_enemy_king_danger,draw,0,0,1,40,move_cap,47.3,22.7,0.002799,0.00145,35.0,0.002125
21,Agent_center_control,Agent_king_safety,draw,0,0,1,40,move_cap,45.05,26.95,0.002828,0.000645,36.0,0.001737
22,Agent_center_control,Agent_material,draw,0,0,1,40,move_cap,43.4,21.35,0.002242,0.000461,32.38,0.001352
23,Agent_center_control,Agent_mobility,draw,0,0,1,40,move_cap,30.35,31.5,0.002283,0.004345,30.93,0.003314
24,Agent_center_control,Agent_pawn_structure,draw,0,0,1,40,move_cap,43.55,18.8,0.002356,0.001052,31.17,0.001704
25,Agent_center_control,Agent_piece_position,draw,0,0,1,40,move_cap,33.6,29.1,0.001802,0.000798,31.35,0.0013
26,Agent_center_control,Agent_rook_activity,draw,0,0,1,40,move_cap,44.35,21.0,0.002531,0.000676,32.67,0.001603
27,Agent_enemy_king_danger,Agent_bishop_pair,draw,0,0,1,40,move_cap,18.35,23.6,0.000984,0.000702,20.98,0.000843
28,Agent_enemy_king_danger,Agent_capture_threats,draw,0,0,1,40,move_cap,26.35,21.25,0.001521,0.001853,23.8,0.001687
29,Agent_enemy_king_danger,Agent_center_control,draw,0,0,1,40,move_cap,25.4,33.9,0.001463,0.002062,29.65,0.001762
30,Agent_enemy_king_danger,Agent_king_safety,draw,0,0,1,40,move_cap,22.75,20.55,0.001429,0.000498,21.65,0.000963
31,Agent_enemy_king_danger,Agent_material,draw,0,0,1,40,move_cap,18.35,23.6,0.001191,0.000648,20.98,0.000919
32,Agent_enemy_king_danger,Agent_mobility,draw,0,0,1,40,move_cap,20.35,28.65,0.001234,0.002534,24.5,0.001884
33,Agent_enemy_king_danger,Agent_pawn_structure,draw,0,0,1,40,move_cap,22.05,19.4,0.001149,0.001064,20.73,0.001107
34,Agent_enemy_king_danger,Agent_piece_position,draw,0,0,1,40,move_cap,24.55,33.3,0.0013,0.000841,28.92,0.001071
35,Agent_enemy_king_danger,Agent_rook_activity,draw,0,0,1,40,move_cap,17.6,28.35,0.00093,0.000842,22.98,0.000886
36,Agent_king_safety,Agent_bishop_pair,draw,0,0,1,40,move_cap,20.15,26.9,0.000439,0.000708,23.52,0.000574
37,Agent_king_safety,Agent_capture_threats,draw,0,0,1,40,move_cap,34.6,19.75,0.000767,0.00189,27.18,0.001329
38,Agent_king_safety,Agent_center_control,draw,0,0,1,40,move_cap,18.9,41.75,0.000417,0.002753,30.32,0.001585
